Common_Name,Species,Genus,Group_Size,Seasonal_Breeding,Mating_System,Reproductive_Age,Male_Rank_Bias,Male_Care,Alloparenting,Male_Homosexuality,Female_Homosexuality,Transgender,Sociosexual_Behavior,Only_observed_in_captivity,Sampling_Size,References_,,,
silvery_gibbon,Hylobates_moloch,Hylobates,1,0,0,3,0,2,0,0,0,0,NA,0,1220,"Kuester,+J.+2000.+""Hylobates+moloch""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Hylobates_moloch/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x","Sienna+Weinstein,+July+2024+https://neprimateconservancy.org/silvery-gibbon/",
Borneo_gibbon,Hylobates_muelleri,Hylobates,1,0,0,3,0,2,0,0,0,0,NA,0,965,"Bruening,+S.+and+S.+Bruening+2002.+""Hylobates+muelleri""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Hylobates_muelleri/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x","Brooklynne+Mitchell-Arno,+Jul+2025+https://neprimateconservancy.org/bornean-gibbon/",
Pileated_gibbon,Hylobates_pileatus,Hylobates,1,0,0,3,0,2,0,0,0,0,NA,0,841,"Cable,+R.+2011.+""Hylobates+pileatus""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Hylobates_pileatus/","K.+Clare+Quinlan,+April+2023+https://neprimateconservancy.org/pileated-gibbon/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",
Olive_baboon,Papio_anubis,Papio,1+3,0,3,3,1,2,2,1,1,1,0,0,345,"Shefferly,+N.+2004.+""Papio+anubis""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Papio_anubis/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Yellow_baboon,Papio_cynocephalus,Papio,1+3,0,3,2,1,2,2,1,1,1,0,0,7150,"Shefferly,+N.+2004.+""Papio+cynocephalus""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Papio_cynocephalus/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Hamadryas_baboon,Papio_hamadryas,Papio,1+3,1,1,1,1,2,1,1,1,1,0,0,5240,"Shefferly,+N.+2004.+""Papio+hamadryas""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Papio_hamadryas/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Chacma_baboon,Papio_ursinus,Papio,2+3,0,1+3,1,1,2,2,1,1,1,0,0,4340,"Shefferly,+N.+2004.+""Papio+ursinus""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Papio_ursinus/

","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Guinea_baboon,Papio_papio,Papio,3,1,1+3,1,1,0,1,1,0,0,1,1,3030,"Shefferly,+N.+2004.+""Papio+papio""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Papio_papio/","Federica+Dal+Pesco+and+Julia+Fischer,+“Greetings+in+male+Guinea+baboons+and+the+function+of+rituals+in+complex+social+groups,”+Journal+of+Human+Evolution,+Volume+125,+2018,+pp.+87–98,+ISSN+0047-2484,+https://doi.org/10.1016/j.jhevol.2018.10.007.","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",
Blue_monkey,Cercopithecus_mitis,Cercopithecus,1+3,0,1+3,1,1,0,2,0,0,0,NA,0,2690,"Strawder,+N.+2001.+""Cercopithecus+mitis""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Cercopithecus_mitis/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Red-tailed_monkey,Cercopithecus_ascanius,Cercopithecus,1+2,0,1,1,1,0,2,0,0,0,NA,0,1650,"Davis,+S.+2002.+""Cercopithecus+ascanius""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Cercopithecus_ascanius/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Diana_monkey,Cercopithecus_diana,Cercopithecus,2,0,1,1,1,0,2,0,0,0,NA,0,1140,"Kennedy,+K.+1999.+""Cercopithecus+diana""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Cercopithecus_diana/","Weinstein,+S.+2024,+March.+Diana+monkey,+Cercopithecus+diana.+Northeast+Primate+Conservancy.+https://neprimateconservancy.org/diana-monkey/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",
Campbell's_monkey,Cercopithecus_campbelli,Cercopithecus,1,0+1,1,1,0,0,2,0,0,0,NA,0,993,"K.+Clare+Quinlan,+April+2021+https://neprimateconservancy.org/campbells-mona-monkey/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
De_Brazza's_monkey,Cercopithecus_neglectus,Cercopithecus,1+3,1,0+1,2,0,0,1,0,0,0,NA,0,668,"Dana+Esp,+July+2023+https://neprimateconservancy.org/debrazzas-monkey/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Sykes'_monkey,Cercopithecus_albogularis,Cercopithecus,1+3,0,1,1,1,0,1+2,0,0,0,NA,0,304,"Henzi,+S.P.,+&+Lawes,+M.+1987.+Breeding+Season+Influxes+and+the+Behaviour+of+Adult+Male+Samango+Monkeys+Cercopithecus+mitis+albogularis.+Folia+Primatologica,+*48*3-4,+125–136.+https://doi.org/10.1159/000156290","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Mona_monkey,Cercopithecus_mona,Cercopithecus,1+2,1,0,2,1,0,2,1,0,0,1,0,543,"Liu,+S.+2000.+""Cercopithecus+mona""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Cercopithecus_mona/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Crested_mona_monkey,Cercopithecus_pogonias,Cercopithecus,1+2,0,1,1,1,0,1+2,0,0,0,NA,0,274,"Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x","Covert,+T.+2020,+February.+Crowned+monkey,+Cercopithecus+pogonias.+Northeast+Primate+Conservancy.+https://neprimateconservancy.org/crowned-monkey/",,
Vervet_monkey,Chlorocebus_pygerythrus,Chlorocebus,2+3,1,1,1,0,0,2,1,0,0,1,0,1340,"Lee+Bahr,+L.+2021,+December.+Vervet,+Chlorocebus+pygerythrus.+Northeast+Primate+Conservancy.+https://neprimateconservancy.org/vervet//","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x","Snyder+KP,+Greenberg+D,+Fane+T,+Filazzola+A,+Mastromonaco+GF,+Schoof+VAM.+Sexual+Signaling+and+Sociosexual+Behaviors+in+Relation+to+Rank,+Parasites,+Hormones,+and+Age+in+Male+Vervet+Monkeys+Chlorocebus+pygerythrus+in+Uganda.+Am+J+Primatol.+2025+Jan;871:e23711.+doi:+10.1002/ajp.23711.+PMID:+39716044;+PMCID:+PMC11666871.",
Green_monkey,Chlorocebus_sabaeus,Chlorocebus,1+2+3,1,1,0,1,0,2,0,0,0,NA,0,356,"Keller,+M.+2010.+""Chlorocebus+sabaeus""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Chlorocebus_sabaeus/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Tantalus_monkey,Chlorocebus_tantalus,Chlorocebus,0+3,0+1,1,0,1,0,2,0,0,0,NA,0,115,"Cerrone,+M.+2025,+August.+Tantalus+monkey,+Chlorocebus+tantalus.+Northeast+Primate+Conservancy.+https://neprimateconservancy.org/tantalus-monkey/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
